"F_Id","F_Account","F_RealName","F_QuickQuery","F_NickName","F_HeadIcon","F_Gender","F_Birthday","F_MobilePhone","F_TelePhone","F_Landline","F_Email","F_Nation","F_NativePlace","F_EntryDate","F_CertificatesType","F_CertificatesNumber","F_Education","F_UrgentContacts","F_UrgentTelePhone","F_PostalAddress","F_Signature","F_Password","F_Secretkey","F_FirstLogTime","F_FirstLogIP","F_PrevLogTime","F_PrevLogIP","F_LastLogTime","F_LastLogIP","F_LogSuccessCount","F_LogErrorCount","F_ChangePasswordDate","F_Language","F_Theme","F_CommonMenu","F_IsAdministrator","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteTime","F_DeleteUserId","F_DeleteMark","F_ManagerId","F_OrganizeId","F_PositionId","F_RoleId","F_PortalId"
"00b0d34d-a5d6-43f7-a7d4-c8d5fbca8f8f","121001","逢雪莲","fxl",,"205.jpg","2","1/1/1970 00:00:00","18206696582",,,,,,"1/1/1970 00:00:00",,,,,,,,"f56afdcfdcadd466e4ce19452bf116c8","7530d0500020495581cfbcd0bbee822e","16/7/2020 15:33:37","192.168.0.117","20/8/2020 09:51:17","192.168.0.124","12/9/2020 09:13:02","192.168.0.146","64","0",,,,,"0",,,"0","1","27/10/2017 16:16:10",,"4/11/2020 08:56:00","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"03d159a3-0f88-424c-a24f-02f63855fe4f","2F88FC7E-2CBE-4B03-8994-2E6548E3CE86","3537C193-D5E5-4C76-95CE-55C298D0D938","94e3a9bb0fce4547886972998fddba1c",
"00ca450b-141b-45d2-b6cb-94d818165543","161001","辛初珍","xcz",,"213.jpg","2","1/1/1970 00:00:00","18808308434",,,,,,"1/1/1970 00:00:00",,,,,,,,"25e41228d5cfcd433a5cde78091147af","d91e6de81e4242378175b824958e89c3","3/8/2020 17:33:49","127.0.0.1","31/10/2020 08:41:16","192.168.0.156","2/11/2020 03:55:32","192.168.0.156","115","0",,,,,"0",,,"0","1","27/10/2017 16:16:10",,"4/11/2020 08:54:56","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"03d159a3-0f88-424c-a24f-02f63855fe4f","EBA8E097-971B-47F7-9892-9A81F74EADE7","710DC81E-3ABB-42F4-BCB1-5044A7A158FD","94e3a9bb0fce4547886972998fddba1c",
"00d9428a-25f5-4ceb-ab9b-1a3c71989bb4","131001","咸诗翠","xsc",,"209.jpg","2","1/1/1970 00:00:00","18106286099","213","213",,"12212","21","1/1/1970 00:00:00","2","3213","4","213","213","213","213213","6134896e85c9cd860f44d0e69c7b7a03","58aed394b08a4f3cb322c3afd30fad0c","17/7/2020 14:25:00","192.168.0.124","21/1/2021 01:09:17","192.168.0.90","21/1/2021 07:05:34","192.168.0.90","104","0",,,"classic",,"0",,,"0","1","27/10/2017 16:16:10",,"21/1/2021 07:05:34","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"6b97f5b0-06ba-4f9d-a93d-876abbaaa767","C26C637B-9255-47AF-A945-7556802DF71B","075E4B10-F926-42AF-983E-3F2AEAEB436C","94e3a9bb0fce4547886972998fddba1c",
"01936875-21d8-4af2-8066-3d8618f40dec","131002","饶雨筠","ryy",,"203.jpg","2","1/1/1970 00:00:00","18908388531",,,,,,"1/1/1970 00:00:00",,,,,,,,"78e9486dc20ce5c79e305f1fb394bb03","d6384cee2f6843f5ba139c75d6519791","8/8/2020 09:20:52","127.0.0.1","16/9/2020 09:10:24","192.168.0.90","16/9/2020 09:13:37","192.168.0.90","4","0",,,,,"0",,,"1","1","27/10/2017 16:16:10",,"21/1/2021 00:46:31","admin",,,,"00d9428a-25f5-4ceb-ab9b-1a3c71989bb4","C26C637B-9255-47AF-A945-7556802DF71B","BBBAB5EE-7F25-4124-A463-829462595BAE","6c3f9f53e1824ed597d4a6349fadd869",
"02ed7f16-1337-454d-ac47-3250551a1588","181002","巩水云","gsy",,"213.jpg","1","1/1/1970 00:00:00","18808138239",,,,,,"1/1/1970 00:00:00",,,,,,,,"c545e633fa36bf7991f5c5fa6f0e1215","56933e07f6d348fd9a24a45bf0e85222","13/8/2020 16:30:57","127.0.0.1","5/1/2021 01:32:16","127.0.0.1","21/1/2021 01:30:00","192.168.0.139","26","0",,,,,"0",,,"0","1","27/10/2017 16:16:11",,"21/1/2021 01:30:00","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"048657c1-ecb1-4e5d-aced-6126ceae779e","17BEBDCB-248D-4668-B6CD-BF22A446BBD4","39931250-A884-44FB-8C70-71B615B44C68","6c3f9f53e1824ed597d4a6349fadd869",
"03812269-e6db-4c36-96aa-4cc81e3d11f3","171001","双问旋","swx",,"208.jpg","1","1/1/1970 00:00:00","18206546408",,,,,,"1/1/1970 00:00:00",,,,,,,,"d76067e8ebd9a9e0f7a2cc74d74401e6","31b1fcb482db4c39bea0aa429c18cea3","19/8/2020 09:13:55","192.168.0.124","19/8/2020 09:13:55","192.168.0.124","8/1/2021 13:01:24","192.168.0.100","2","0","24/7/2018 10:40:26",,,,"0",,,"0","1","27/10/2017 16:16:11",,"8/1/2021 13:01:24","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"03d159a3-0f88-424c-a24f-02f63855fe4f","28C2AB90-2513-40DA-ACBA-D962FB29CC58","978828E1-0333-4AD5-B58F-7582F7FFAF33","94e3a9bb0fce4547886972998fddba1c",
"03d159a3-0f88-424c-a24f-02f63855fe4f","101002","薄凡白","bfb",,"211.jpg","1",,"18006085873",,,,,,,,,,,,,,"ad4dce655085e6674febd2fc2e551bbb","59e8e766593b4e92a0f0e418be837c05","18/7/2019 15:04:29","192.168.0.193","23/3/2021 08:56:15","192.168.0.81","23/3/2021 09:02:18","192.168.0.162","506","0","26/7/2019 15:42:35","zh","classic",,"1",,,"0","1","27/10/2017 16:16:11",,"23/3/2021 09:02:18","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"03d159a3-0f88-424c-a24f-02f63855fe4f","9E998490-40B2-45EF-A82E-E225BF2109E1","0E773C1A-2E4E-4001-A51E-0E3DC93901A4","d2b2418a2f664c61abf0053ff5d57783","329b3d38e319418db769469f0e974bbe"
"048657c1-ecb1-4e5d-aced-6126ceae779e","181001","於友绿","wyl",,"202.jpg","1",,"13204914516",,,,,,,,,,,,,"0000","4a80a31323bca60e087548739b66799c","49e985b7ba2740449109b82c20f2eb11","29/5/2020 21:23:36","127.0.0.1","23/3/2021 08:55:19","192.168.0.81","23/3/2021 09:10:00","192.168.0.100","322","0","29/5/2020 21:09:19",,,,"1",,,"0","1","27/10/2017 16:16:11",,"23/3/2021 09:10:00","048657c1-ecb1-4e5d-aced-6126ceae779e",,,,"admin","17BEBDCB-248D-4668-B6CD-BF22A446BBD4","145E3F83-83D5-42B2-8091-714F064BFD8E","94e3a9bb0fce4547886972998fddba1c","329b3d38e319418db769469f0e974bbe"
"0602f0ce-e33e-43e1-83e5-402a8d05bfb5","121002","戈平卉","gph",,"202.jpg","2","1/1/1970 00:00:00","17607567586",,,,,,"1/1/1970 00:00:00",,,,,,,,"8fda3311252ecc5e0dec3a68df2c5ac3","47b42b7f1759487a8c45c22f19904a32","15/7/2020 09:48:11","192.168.0.117","10/10/2020 01:04:29","192.168.0.103","4/11/2020 12:36:16","192.168.0.52","18","0",,,,,"0",,,"0","1","27/10/2017 16:16:11",,"4/11/2020 12:36:16",,,,,"00b0d34d-a5d6-43f7-a7d4-c8d5fbca8f8f","2F88FC7E-2CBE-4B03-8994-2E6548E3CE86","A939BEF0-3376-4456-81FA-E85CBB84B387","fb62224ec67745aa87e56437ce5c92c6",
"0a72e7d8-b519-435b-9c43-6796a31c72ec","141001","郤初阳","xcy",,"105.jpg","2","1/1/1970 00:00:00","18306866779",,,,,,"1/1/1970 00:00:00",,,,,,,,"224f42005f726bc985194277c5168b3f","db202fd45b0e4a3a8dfcb0ba4edd9c5e","20/7/2020 17:55:31","192.168.0.124","22/1/2021 06:45:08","192.168.0.146","22/1/2021 08:44:12","192.168.0.80","237","0",,,,,"0",,,"0","1","27/10/2017 16:16:11",,"19/3/2021 02:18:25","048657c1-ecb1-4e5d-aced-6126ceae779e",,,,"3977de33-668c-4585-b09b-239aacfb4ebe","2AD2E864-A08F-4C5B-8CF6-1150AC7D56E3","E6C0FBF7-D0F4-4ECC-86EA-0F5CD6B4F2F5,59e84df36abe4c6f873d74392c2eea11","94e3a9bb0fce4547886972998fddba1c",
"0a85de84-4de0-4317-9767-25f95fdd9b1e","181003","禹千青","YQQ",,"103.jpg","1",,"15103042363",,,,,,,,,,,,,,"ac6840fe1dccd146f5408296522be825","3413266acc0e4ff2bb5f3ae7ea356ba2","19/8/2020 11:15:24","192.168.0.148","30/11/2020 06:52:43","192.168.0.81","13/1/2021 02:39:46","192.168.0.133","4","0",,,,,"0",,,"0","1","27/10/2017 16:16:11",,"13/1/2021 02:39:46",,,,,"048657c1-ecb1-4e5d-aced-6126ceae779e","17BEBDCB-248D-4668-B6CD-BF22A446BBD4","D6DC9684-26D3-4BFA-B072-AC1EE980B1D9","6c3f9f53e1824ed597d4a6349fadd869",
"0c1d9463-221f-49ba-8e38-28c1f1df0c4b","181004","乜以寒","myh",,"206.jpg","1","1/1/1970 00:00:00","18908498650",,,,,,,,,,,,,,"dc08b7a12b530a99a25cf722a1e65cf7","0496713514d148058479ec067efb1f09","28/8/2020 07:38:11","192.168.0.124","8/9/2020 07:01:13","192.168.0.162","18/9/2020 06:41:03","192.168.0.79","11","0",,,,,"0",,,"0","1","27/10/2017 16:16:11",,"4/11/2020 08:18:32",,,,,"048657c1-ecb1-4e5d-aced-6126ceae779e","17BEBDCB-248D-4668-B6CD-BF22A446BBD4","17BEBD48-10FE-43C5-B16F-61CDB7B95839","6c3f9f53e1824ed597d4a6349fadd869",
"0db19241-2688-40e1-a873-4d30de4aea30","151001","俞紫槐","yzh",,"219.jpg","2","21/1/1970 16:00:00","13802071236","1231321","010321321","132132123","01ba59c5d9a44d71ab0284cb48525813","1231",,"4307b5cd9b7545faac4f927bd091e48f","123132","1128f7a50cc64c6db6eed4696fdbee80","1232132132","132132132","231321","321321321","5eda6fdacf4c8f2257efc4f2a437997d","086f59f070e1428081f5fd5b8ec2c698","18/7/2020 15:29:15","192.168.0.148","22/1/2021 02:08:50","192.168.0.133","22/1/2021 07:21:13","192.168.0.133","135","0",,,"classic",,"1",,,"0","1","27/10/2017 16:16:11",,"22/1/2021 07:21:13","0db19241-2688-40e1-a873-4d30de4aea30",,,,"3977de33-668c-4585-b09b-239aacfb4ebe","9A8553AC-CD51-4388-8A2E-6D7729E3884F","59e84df36abe4c6f873d74392c2eea11","94e3a9bb0fce4547886972998fddba1c",
"0fb772a4-9229-417d-bd25-f112ab12b754","121003","郏从丹","jcd",,"205.jpg","2","1/1/1970 00:00:00","18507117058",,,,,,"1/1/1970 00:00:00",,,,,,,,"bfd946d50e7daa469a4209c2c17136e5","544db48dd60a45c8a16a0d5934463987","17/7/2020 14:27:03","192.168.0.124","14/10/2020 07:46:30","192.168.0.103","14/10/2020 07:47:37","192.168.0.103","12","0","14/10/2020 07:43:58",,,,"0",,,"0","1","27/10/2017 16:16:11",,"4/11/2020 08:23:26","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"00b0d34d-a5d6-43f7-a7d4-c8d5fbca8f8f","2F88FC7E-2CBE-4B03-8994-2E6548E3CE86","9ABD0D93-AE1C-4072-83B8-18AD1D170D7D","6c3f9f53e1824ed597d4a6349fadd86,fb62224ec67745aa87e56437ce5c92c6",
"12d396d9-469a-4695-b7ff-bbb988bced4e","141002","阴含灵","YHL",,"202.jpg","2",,"18106456302",,,,,,,,,,,,,,"64a7ad4029bbe02718370391d2e475af","05272ea8148f4883a309880aed493fba",,,,,,,"0","0",,,,,"0",,,"0","1","27/10/2017 16:16:12",,"4/11/2020 08:24:43","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"0a72e7d8-b519-435b-9c43-6796a31c72ec","2AD2E864-A08F-4C5B-8CF6-1150AC7D56E3","E6C0FBF7-D0F4-4ECC-86EA-0F5CD6B4F2F5","6c3f9f53e1824ed597d4a6349fadd869",
"14601962-ddc6-4e00-9524-8c332753ee96","121004","巴冷松","bls",,"104.jpg","2","1/1/1970 00:00:00","15605284945",,,,,,"1/1/1970 00:00:00",,,,,,,,"7bbea84842b88a1ad68115b048c508c6","dd2661f9ada04ef3b2a8b26f64cfdd06","24/7/2020 17:04:23","192.168.0.124","20/8/2020 10:41:30","127.0.0.1","20/8/2020 11:12:17","127.0.0.1","46","0",,,,,"0",,,"0","1","27/10/2017 16:16:11",,"10/11/2020 01:29:46","048657c1-ecb1-4e5d-aced-6126ceae779e",,,,"00b0d34d-a5d6-43f7-a7d4-c8d5fbca8f8f","2F88FC7E-2CBE-4B03-8994-2E6548E3CE86","6B063EBA-1A49-4F65-8BBB-1B1A89C21509","6c3f9f53e1824ed597d4a6349fadd86,fb62224ec67745aa87e56437ce5c92c",
