"F_Id","F_EnCode","F_FullName","F_Gender","F_DepartmentName","F_PositionName","F_WorkingNature","F_IDNumber","F_Telephone","F_AttendWorkTime","F_Birthday","F_Education","F_Major","F_GraduationAcademy","F_GraduationTime","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId"
"006c1481c4374cdd86c545916075fe08","181027","江觅风","男","技术部","计算机管理员","合同制","350205196810292000","15803703121","1/1/1900 00:00:00","1/1/1900 00:00:00","本科","计算机",,"1/1/1900 00:00:00",,,,"20/8/2020 14:29:46","login_token_1728348620fe405b963d00ff97836a9a",,,,,
"00afe13d161b47ef8790b89014bd4252","181026","芮秋双","女","技术部",,"合同制","350203196402290000","15505014641",,,"本科","计算机",,,,,,"23/3/2021 08:48:54","admin",,,,,
"011726c0a20540d58caae35f0b4aecc4","181014","祁凌瑶","男","技术部",,"合同制","350205197906133000","15103012323",,,"本科","计算机",,,,,,"23/3/2021 08:48:49","admin",,,,,
"019c5d2e34cd46f8ba775d915398dce7","181005","游如柏","男","技术部",,"合同制","350205195607145000","17708738938",,,"本科","计算机",,,,,,"23/3/2021 08:51:34","admin",,,,,
"0247d1fe4b2449ef910c19e15ab7aace","181030","霍涵蕾","男","技术部",,"合同制","350206198205094000","15904073555",,,"本科","计算机",,,,,,"23/3/2021 08:48:48","admin",,,,,
"02616c0672ca4163aa87d67511ad5544","181010","农翠芙","女","技术部",,"合同制","350206197311102000","18507177130",,,"本科","计算机",,,,,,"23/3/2021 08:51:30","admin",,,,,
"02cc1fcb19ad4d4db1709a7a314d4d2c","181029","红幻波","男","技术部","通讯工程师","合同制","35020419601122205X","17708718904","1/1/1900 00:00:00","1/1/1900 00:00:00","本科","计算机",,"1/1/1900 00:00:00",,,,"20/8/2020 14:29:46","login_token_1728348620fe405b963d00ff97836a9a",,,,,
"02d8b144d0a14c3dbb815ab19e1e0536","181010","农翠芙","女","技术部",,"合同制","350206197311102000","18507177130",,,"本科","计算机",,,,,,"23/3/2021 08:48:52","admin",,,,,
"032af9ff45e240cbaca2e05171a233b5","181007","终念寒","男","技术部","软件工程师","合同制","350205196303282000","17607637666","1/1/1900 00:00:00","1/1/1900 00:00:00","大专","计算机",,"1/1/1900 00:00:00",,,,"18/8/2020 11:44:34","admin",,,,,
"033382a6384948d9b146e04fb73a5873","181007","终念寒","男","技术部",,"合同制","350205196303282000","17607637666",,,"大专","计算机",,,,,,"23/3/2021 08:51:39","admin",,,,,
